AccessionID	NumChromosomal	NumPlasmid	NumExtraChromosomal	Length_DNA	NumProteins	GC	SequenceType	Phylogroup	Serotype	Remarks
GCF_003073955.1	1	1	0	4793375	4339	50.65	ST410	C	O179:H9	Keep
GCF_003076395.1	1	3	0	5342679	4893	50.48	ST95	B2	O1:H7	Keep
GCF_003095635.1	1	0	0	4971313	4488	50.78	ST117	G	O53:H4	Keep
GCF_003111785.1	1	4	0	4961773	4439	50.75	ST8739	A	Unk:H29	Keep
GCF_003112145.1	1	1	0	5474275	4877	50.63	ST655	B1	O121:H19	Keep
GCF_003112165.1	1	2	0	5732806	5188	50.68	ST723	B1	O103:H11	Keep
GCF_003112185.1	1	1	0	5738300	5228	50.62	ST21	B1	O26:H11	Keep
GCF_003112205.1	1	3	0	5261709	4807	50.73	ST937	B1	O43:H2	Keep
GCF_003112225.1	1	2	0	5967793	5504	50.59	ST21	B1	O26:H11	Keep
GCF_003112245.1	1	2	0	5284381	4765	50.59	ST16	B1	O111:H8	Keep
GCF_003122105.1	1	3	0	5225188	4711	50.71	ST156	B1	O-:H25	Keep
GCF_003172465.2	1	0	0	4685200	4232	50.76	ST10	A	O16:H48	Keep
GCF_003176855.1	1	2	0	5272885	4875	50.80	ST223	B1	O113:H21	Keep
GCF_003180975.1	1	1	0	4928362	4356	50.87	ST10	A	O101:H10	Keep
GCF_003180995.1	1	2	0	5441874	4900	50.63	ST405	D	O102:H6	Keep
GCF_003181035.1	1	2	0	5253091	4805	50.80	ST131	B2	O16:H5	Keep
GCF_003194345.1	1	3	0	5291041	4850	50.77	ST131	B2	O25:H4	Keep
GCF_003203755.1	1	2	0	5626456	5124	50.44	ST16	B1	O111:H8	Keep
GCF_003204155.1	1	3	0	5574539	5059	50.66	ST4	A	O6:H16	Keep
GCF_003204955.1	1	1	0	5272336	4818	50.39	ST457	F	O11:H25	GCF_003204955.1 has been dropped because has ANI=99.9977 to GCF_008152105.1
GCF_003231115.1	1	1	0	4603110	4056	50.90	ST3288	A	O105:H5	Keep
GCF_003254065.1	1	5	0	5227855	4685	50.70	ST167	A	Unk:H9	Keep
GCF_003268695.1	1	4	0	4943704	4484	50.65	ST410	C	O8:H21	GCF_003268695.1 has been dropped because has ANI=99.9938 to GCF_013426075.1
GCF_003287245.1	1	0	0	4614212	4148	50.76	ST93	A	O7:H-	Keep
GCF_003288275.1	1	2	0	5432416	4904	50.51	ST16	B1	O111:H8	GCF_003288275.1 has been dropped because has ANI=99.9937 to GCF_003288295.1
GCF_003288295.1	1	2	0	5432691	4896	50.50	ST16	B1	O111:H8	Keep
GCF_003288415.1	1	3	0	4958222	4526	50.88	ST156	B1	O54:H28	Keep
GCF_003288455.1	1	7	0	5165626	4736	50.76	ST131	B2	O25:H4	Keep
GCF_003290205.1	1	3	0	4929312	4342	50.72	ST4	A	O6:H16	Keep
GCF_003308955.1	1	2	0	5537857	4989	50.37	ST11	E	O157:H7	Keep
GCF_003308975.1	1	2	0	5477116	5065	50.67	ST69	D	O153:H2	Keep
GCF_003325975.1	1	1	0	5281373	4858	50.48	ST40	B1	O109:H21	Keep
GCF_003336405.1	1	6	0	5339431	4866	50.71	ST453	B1	O45:H16	Keep
GCF_003342715.1	1	5	0	5492302	5083	50.58	ST448	B1	O-:H32	Keep
GCF_003344465.1	1	5	0	5042521	4577	50.59	ST1193	B2	O75:H5	Keep
GCF_003346835.1	1	1	0	5313245	4731	50.33	ST80	B2	Unk:H7	Keep
GCF_003351385.1	1	4	0	5086148	4487	50.71	ST410	C	O8:H21	Keep
GCF_003351485.1	1	0	0	5133477	4624	50.54	ST73	B2	O6:H1	GCF_003351485.1 has been dropped because has ANI=99.9988 to GCF_017357505.1
GCF_003352425.1	1	3	0	5093756	4624	50.37	ST10	A	O11:H16	Keep
GCF_003355175.1	1	2	0	4891336	4339	50.80	ST2350	B1	O8:H49	Keep
GCF_003367885.1	1	0	0	4599824	4138	50.78	ST10	A	O16:H48	GCF_003367885.1 has been dropped because has ANI=99.9921 to GCF_000005845.2
GCF_003402955.1	1	4	0	5905147	5347	50.34	ST88	C	O116:H11	Keep
GCF_003410275.1	1	1	0	4981733	4360	50.64	ST6140	D	O-:H16	Keep
GCF_003413625.1	1	5	0	5114849	4587	50.63	ST410	C	O8:H21	Keep
GCF_003432305.1	1	0	0	4854459	4317	50.66	ST10	A	O45:H45	Keep
GCF_003433275.1	1	3	0	5588834	5173	50.60	ST678	B1	O104:H4	Keep
GCF_003443795.1	1	1	0	4848021	4261	50.99	ST48	A	O5:H11	Keep
GCF_003443815.1	1	4	0	5166180	4615	50.64	ST48*	A	O88:H16	Keep
GCF_003491165.1	1	1	0	5267223	4786	50.66	ST678	B1	O104:H4	GCF_003491165.1 has been dropped because has ANI=99.9984 to GCF_002214745.2
GCF_003546975.1	1	2	0	5072329	4537	50.56	ST73	B2	O6:H1	Keep
GCF_003570765.1	1	1	0	5035086	4572	50.76	ST56	B1	O71:H21	Keep
GCF_003571665.1	1	2	0	5289589	4868	50.83	ST131	B2	O25:H4	Keep
GCF_003571685.1	1	1	0	5481110	4902	50.76	ST62	F	O7:H45	Keep
GCF_003571765.1	1	2	0	5059364	4484	50.75	ST48	A	O86:H38	Keep
GCF_003571785.1	1	4	0	5459956	4985	50.73	ST405	D	O102:H6	Keep
GCF_003571825.1	1	2	0	5245490	4830	50.68	ST131	B2	O25:H4	Keep
GCF_003586045.1	1	3	0	5279597	4835	50.60	ST223	B1	O113:H21	Keep
GCF_003586065.1	1	1	0	5475442	4850	50.69	ST32	D	O145:H28	GCF_003586065.1 has been dropped because has ANI=99.9957 to GCF_014623405.1
GCF_003591595.1	1	0	0	4746918	4257	50.87	ST3021	A	O146:H20	Keep
GCF_003627195.1	1	0	0	4639694	4188	50.79	ST10	A	O16:H48	GCF_003627195.1 has been dropped because has ANI=99.9939 to GCF_000005845.2
GCF_003627855.1	1	2	0	5300729	4812	50.73	ST69	D	O15:H18	Keep
GCF_003667385.1	1	2	0	4813331	4291	50.72	ST1684	A	O86:H10	Keep
GCF_003667405.1	1	2	0	5064759	4531	50.47	ST162	B1	O9:H19	Keep
GCF_003667425.1	1	3	0	4997440	4364	50.45	ST744	A	O101:H10	Keep
GCF_003691425.1	1	4	0	5100251	4553	50.60	ST206	A	O-:H38	Keep
GCF_003697165.2	1	1	0	5034834	4612	50.64	ST95	B2	O1:H7	Keep
GCF_003703795.1	1	2	0	5058292	4505	50.70	ST7139	A	O81:H27	Keep
GCF_003711005.1	1	2	0	5030087	4497	50.79	ST48	A	O45:H11	Keep
GCF_003711045.1	1	4	0	4894762	4401	50.60	ST410	C	O8:H9	Keep
GCF_003717595.1	1	0	0	4582842	4028	50.77	ST10	A	O16:H48	Keep
GCF_003722195.1	1	0	0	5569804	5020	50.53	ST717	E	O157:H7	Keep
GCF_003790525.1	1	4	0	6162737	5576	50.29	ST6862	F	O21:H34	Keep
GCF_003812625.1	1	5	0	5104538	4644	50.65	ST636	B2	O21:H7	Keep
GCF_003812945.1	1	6	0	5513232	5045	50.42	ST648	F	O1:H6	Keep
GCF_003813145.1	1	5	0	5550714	5092	50.55	ST405	D	O102:H6	Keep
GCF_003856575.1	1	4	0	4928465	4408	50.76	ST167	A	O101:H9	Keep
GCF_003856615.1	1	3	0	5503245	5101	50.67	ST131	B2	O25:H4	Keep
GCF_003856635.1	1	5	0	5319417	4869	50.71	ST131	B2	O25:H4	Keep
GCF_003856655.1	1	7	0	5377516	5010	50.72	ST131	B2	O25:H4	Keep
GCF_003856675.1	1	5	0	5295885	4854	50.66	ST405	D	O102:H6	Keep
GCF_003856695.1	1	4	0	5371977	4982	50.66	ST131	B2	O25:H4	Keep
GCF_003856995.1	1	5	0	5585941	5096	50.38	ST131	B2	O25:H4	Keep
GCF_003925895.1	1	2	0	5000441	4447	50.68	ST167	A	O101:H9	Keep
GCF_003956165.1	1	2	0	5302308	4699	50.68	ST173	B1	O128ac:H12	Keep
GCF_003956185.1	1	2	0	5200734	4731	50.62	ST443	B1	O115:H5	Keep
GCF_003956205.1	1	2	0	5335684	4822	50.72	ST443	B1	O115:H5	GCF_003956205.1 has been dropped because has ANI=99.9934 to GCF_003956485.1
GCF_003956225.1	1	2	0	5038713	4498	50.72	ST1312	A	O25:H16	Keep
GCF_003956245.1	1	1	0	5271236	4626	50.60	ST398	A	O167:H5	Keep
GCF_003956265.1	1	4	0	5116904	4401	50.72	ST1201	A	O25:H42	Keep
GCF_003956285.1	1	3	0	5150622	4634	50.52	ST94	B1	O148:H28	Keep
GCF_003956305.1	1	2	0	5034709	4505	50.55	ST10	A	O128ac:H12	Keep
GCF_003956325.1	1	2	0	5347793	4818	50.71	ST443	B1	O115:H5	GCF_003956325.1 has been dropped because has ANI=99.9949 to GCF_003956485.1
GCF_003956345.1	1	4	0	5078039	4482	50.95	ST1564	A	O-:H21	Keep
GCF_003956365.1	1	1	0	5207077	4650	50.69	ST443	B1	O115:H5	Keep
GCF_003956385.1	1	1	0	4977019	4510	50.72	ST517	B1	Unk:H19	Keep
GCF_003956405.1	1	2	0	5237282	4622	50.71	ST2332	A	O128ac:H45	Keep
GCF_003956425.1	1	3	0	5179575	4636	50.54	ST94	B1	O148:H28	Keep
GCF_003956445.1	1	4	0	5284416	4758	50.54	ST94?	B1	O148:H28	Keep
GCF_003956465.1	1	3	0	5169235	4584	50.55	ST94	B1	O148:H28	Keep
GCF_003956485.1	1	3	0	5388677	4867	50.70	ST443	B1	O115:H5	Keep
GCF_003966425.1	1	5	0	5935076	5427	50.67	ST16	B1	O111:H8	Keep
GCF_003966445.1	1	5	0	5751663	5245	50.47	ST16	B1	O111:H8	Keep
GCF_003966465.1	1	4	0	6007923	5541	50.52	ST21	B1	O26:H11	Keep
GCF_003966775.1	1	1	0	5198805	4767	50.76	ST131	B2	O25:H4	Keep
GCF_003966795.1	1	1	0	5692546	5001	50.57	ST11	E	O157:H7	Keep
GCF_003971215.1	1	3	0	4814158	4255	50.89	ST48	A	O-:H37	Keep
GCF_003991155.1	1	4	0	5580091	5139	50.35	ST457	F	O11:H25	Keep
GCF_003999795.1	1	6	0	4986450	4559	50.79	ST3076	B1	O-:H34	Keep
GCF_004006575.1	1	3	0	5300515	4712	50.40	ST2705	A	O173:H10	Keep
GCF_004010575.1	1	2	0	5674054	5163	50.48	ST11	E	O157:H7	Keep
GCF_004010595.1	1	1	0	5516392	4966	50.46	ST11	E	O157:H7	Keep
GCF_004010615.1	1	2	0	5564973	5035	50.41	ST11	E	O157:H7	Keep
GCF_004010635.1	1	1	0	5545237	4998	50.44	ST11	E	O157:H7	Keep
GCF_004010655.1	1	1	0	5574764	5040	50.45	ST11	E	O157:H7	Keep
GCF_004010675.1	1	1	0	5633927	5134	50.49	ST11	E	O157:H7	Keep
GCF_004010695.1	1	1	0	5573470	5055	50.45	ST11	E	O157:H7	Keep
GCF_004010715.1	1	1	0	5624664	5066	50.43	ST11	E	O157:H7	Keep
GCF_004011015.1	1	2	0	5560834	5082	50.51	ST38	D	O99:H30	Keep
GCF_004022505.2	1	0	0	4548948	4086	50.75	ST10	A	O16:H48	GCF_004022505.2 has been dropped because has ANI=99.9944 to GCF_001559655.1
GCF_004088295.1	1	5	0	5069694	4572	50.66	ST410	C	O-:H9	Keep
GCF_004114395.1	1	3	0	5348132	4844	50.35	ST648	F	O102:H6	Keep
GCF_004118915.1	1	1	0	5549704	4967	50.53	ST11	E	O157:H7	Keep
GCF_004135125.1	1	3	0	5066785	4540	50.57	ST73	B2	O6:H1	GCF_004135125.1 has been dropped because has ANI=99.9954 to GCF_003546975.1
GCF_004135165.1	1	6	0	5300616	4870	50.78	ST131	B2	O25:H4	GCF_004135165.1 has been dropped because has ANI=99.9921 to GCF_004141955.1
GCF_004135775.1	1	4	0	5270012	4643	50.75	ST448	B1	O-:H8	Keep
GCF_004135815.1	1	4	0	5261183	4664	50.74	ST448	B1	O-:H8	Keep
GCF_004135915.1	1	6	0	5300575	4839	50.78	ST131	B2	O25:H4	Keep
GCF_004141955.1	1	8	0	5384821	4971	50.76	ST131	B2	O25:H4	Keep
GCF_004193755.1	1	6	0	5128015	4747	50.85	ST131	B2	O25:H4	Keep
GCF_004295365.1	1	8	0	5304202	4811	50.58	ST167	A	O101:H9	Keep
GCF_004299805.1	1	1	0	5334561	4884	50.70	ST131	B2	O25:H4	Keep
GCF_004301465.1	1	5	0	5069560	4680	50.76	ST2161	B1	O180:H14	Keep
GCF_004328685.1	1	4	0	4851057	4405	50.83	ST1114	A	O2:H26	Keep
GCF_004355105.1	1	0	0	4624857	4174	50.79	ST10	A	O16:H48	Keep
GCF_004358365.1	1	2	0	5761749	5251	50.64	ST21	B1	O26:H11	Keep
GCF_004358385.1	1	1	0	5593613	5013	50.64	ST29	B1	O26:H11	Keep
GCF_004358405.1	1	1	0	5778004	5245	50.68	ST21	B1	O26:H11	Keep
GCF_004358965.1	1	0	0	4641652	4188	50.79	ST10	A	O16:H48	GCF_004358965.1 has been dropped because has ANI=100 to GCF_000005845.2
GCF_004358985.1	1	0	0	4697181	4145	50.83	ST10	A	O16:H48	Keep
GCF_004368015.1	1	4	0	5135611	4656	50.58	ST10	A	O140:H21	Keep
GCF_004377995.2	1	0	0	5164344	4635	50.48	ST457	F	O11:H6	Keep
GCF_004526255.1	1	2	0	4689713	4187	50.67	ST46	A	Unk:H10	Keep
GCF_004564035.1	1	0	0	5349824	4878	50.58	ST141	B2	Unk:H6	Keep
GCF_004564175.1	1	2	0	5330963	4837	50.64	ST405	D	O102:H6	GCF_004564175.1 has been dropped because has ANI=99.9996 to GCF_003031795.1
GCF_004759025.1	1	1	0	5435394	4935	50.51	ST38	D	O102:H6	Keep
GCF_004771135.1	1	3	0	5242835	4784	50.63	ST73	B2	Unk:H1	Keep
GCF_004771235.1	1	4	0	5441892	4925	50.67	ST10	A	O117:H4	Keep
GCF_004792495.1	1	1	0	4967077	4484	50.85	ST10	A	Unk:H32	Keep
GCF_004801575.1	1	4	0	4898477	4481	50.78	ST48	A	O88:H25	Keep
GCF_004804185.1	1	1	0	4990487	4607	50.66	ST583	B2	O63:H6	Keep
GCF_004804205.1	1	0	0	4702395	4360	50.73	ST122	B2	O63:H6	Keep
GCF_004924255.1	1	2	0	5111490	4549	50.70	ST542	A	O8:H45	Keep
GCF_004924275.1	1	6	0	5115704	4580	50.69	ST515	B1	O128ac:H12	Keep
GCF_004924355.1	1	2	0	5186669	4676	50.61	ST1196	B1	O173:H28	Keep
GCF_005014055.1	1	3	0	5131000	4687	50.79	ST223	B1	O113:H21	Keep
GCF_005014075.1	1	3	0	5442997	4955	50.65	ST678	B1	O104:H4	GCF_005014075.1 has been dropped because has ANI=99.9957 to GCF_002983645.1
GCF_005037715.1	1	1	0	5479551	4903	50.62	ST655	B1	O121:H19	Keep
GCF_005037725.1	1	3	0	5803315	5271	50.62	ST21	B1	O26:H11	Keep
GCF_005037735.1	1	2	0	5505679	4972	50.45	ST11	E	O157:H7	Keep
GCF_005037775.1	1	1	0	5093580	4672	50.86	ST442	B1	O91:H21	Keep
GCF_005037795.1	1	1	0	5470829	5048	50.69	ST17	B1	O103:H2	Keep
GCF_005037805.1	1	0	0	5132754	4629	50.64	ST16	B1	O111:H8	Keep
GCF_005037815.1	1	2	0	5790057	5097	50.64	ST32	D	O145:H28	Keep
GCF_005037845.1	1	2	0	5680623	5145	50.60	ST17	B1	O45:H2	Keep
GCF_005156265.1	1	6	0	5319169	4747	50.81	ST167	A	O-:H10	Keep
GCF_005221505.1	1	3	0	5697533	5154	50.44	ST11	E	O157:H7	Keep
GCF_005221525.1	1	2	0	5577185	5072	50.35	ST11	E	O157:H7	Keep
GCF_005221545.1	1	1	0	5517227	4997	50.44	ST11	E	O157:H7	GCF_005221545.1 has been dropped because has ANI=99.9999 to GCF_005221525.1
GCF_005221565.1	1	1	0	5517290	4997	50.44	ST11	E	O157:H7	GCF_005221565.1 has been dropped because has ANI=99.9987 to GCF_005221525.1
GCF_005221585.1	1	3	0	5643655	5066	50.44	ST11	E	O157:H7	GCF_005221585.1 has been dropped because has ANI=99.9924 to GCF_005221505.1
GCF_005221605.1	1	2	0	5555563	5033	50.50	ST11	E	O157:H7	GCF_005221605.1 has been dropped because has ANI=99.9994 to GCF_005221645.1
GCF_005221625.1	1	2	0	5555913	5034	50.50	ST11	E	O157:H7	GCF_005221625.1 has been dropped because has ANI=99.9999 to GCF_005221645.1
GCF_005221645.1	1	2	0	5555925	5033	50.50	ST11	E	O157:H7	Keep
GCF_005221665.1	1	2	0	5553169	5031	50.50	ST11	E	O157:H7	GCF_005221665.1 has been dropped because has ANI=99.9946 to GCF_005221645.1
GCF_005221685.1	1	2	0	5553158	5032	50.50	ST11	E	O157:H7	GCF_005221685.1 has been dropped because has ANI=99.9947 to GCF_005221645.1
GCF_005221705.1	1	2	0	5553154	5032	50.50	ST11	E	O157:H7	GCF_005221705.1 has been dropped because has ANI=99.9946 to GCF_005221645.1
GCF_005221725.1	1	2	0	5553163	5031	50.50	ST11	E	O157:H7	GCF_005221725.1 has been dropped because has ANI=99.9946 to GCF_005221645.1
GCF_005221745.1	1	2	0	5553251	5032	50.50	ST11	E	O157:H7	GCF_005221745.1 has been dropped because has ANI=99.9965 to GCF_005221645.1
GCF_005221765.1	1	1	0	5551339	5003	50.46	ST11	E	O157:H7	GCF_005221765.1 has been dropped because has ANI=99.9926 to GCF_005222325.1
GCF_005221785.1	1	1	0	5551589	5016	50.47	ST11	E	O157:H7	GCF_005221785.1 has been dropped because has ANI=99.9909 to GCF_004010575.1
GCF_005221805.1	1	2	0	5555919	5032	50.50	ST11	E	O157:H7	GCF_005221805.1 has been dropped because has ANI=99.9999 to GCF_005221645.1
GCF_005221825.1	1	2	0	5555918	5033	50.50	ST11	E	O157:H7	GCF_005221825.1 has been dropped because has ANI=99.9999 to GCF_005221645.1
GCF_005221845.1	1	2	0	5495749	4968	50.50	ST11	E	O157:H7	GCF_005221845.1 has been dropped because has ANI=99.9953 to GCF_005221645.1
GCF_005221865.1	1	2	0	5553168	5028	50.50	ST11	E	O157:H7	GCF_005221865.1 has been dropped because has ANI=99.9947 to GCF_005221645.1
GCF_005221885.1	1	1	0	5697472	5175	50.50	ST11	E	O157:H7	Keep
GCF_005221905.1	1	4	0	5680026	5185	50.52	ST11	E	O157:H7	Keep
GCF_005221925.1	1	2	0	5555919	5033	50.50	ST11	E	O157:H7	GCF_005221925.1 has been dropped because has ANI=99.9998 to GCF_005221645.1
GCF_005221945.1	1	2	0	5553146	5033	50.50	ST11	E	O157:H7	GCF_005221945.1 has been dropped because has ANI=99.9964 to GCF_005221645.1
GCF_005221965.1	1	2	0	5555919	5034	50.50	ST11	E	O157:H7	GCF_005221965.1 has been dropped because has ANI=99.9999 to GCF_005221645.1
GCF_005221985.1	1	2	0	5553249	5032	50.50	ST11	E	O157:H7	GCF_005221985.1 has been dropped because has ANI=99.9965 to GCF_005221645.1
GCF_005222005.1	1	1	0	5546907	5021	50.46	ST11	E	O157:H7	Keep
GCF_005222025.1	1	2	0	5555917	5033	50.50	ST11	E	O157:H7	GCF_005222025.1 has been dropped because has ANI=99.9999 to GCF_005221645.1
GCF_005222045.1	1	2	0	5553074	5034	50.50	ST11	E	O157:H7	GCF_005222045.1 has been dropped because has ANI=99.9963 to GCF_005221645.1
GCF_005222065.1	1	2	0	5553150	5031	50.50	ST11	E	O157:H7	GCF_005222065.1 has been dropped because has ANI=99.9966 to GCF_005221645.1
GCF_005222265.1	1	2	0	5553158	5028	50.50	ST11	E	O157:H7	GCF_005222265.1 has been dropped because has ANI=99.9947 to GCF_005221645.1
GCF_005222285.1	1	1	0	5601006	5011	50.46	ST11	E	O157:H7	Keep
GCF_005222305.1	1	2	0	5542240	5027	50.48	ST11	E	O157:H7	GCF_005222305.1 has been dropped because has ANI=99.9996 to GCF_005222445.1
GCF_005222325.1	1	1	0	5559170	5016	50.47	ST11	E	O157:H7	Keep
GCF_005222345.1	1	1	0	5531321	4977	50.47	ST11	E	O157:H7	Keep
GCF_005222365.1	1	1	0	5552230	5020	50.46	ST11	E	O157:H7	GCF_005222365.1 has been dropped because has ANI=99.9915 to GCF_004010575.1
GCF_005222385.1	1	2	0	5551313	5031	50.50	ST11	E	O157:H7	GCF_005222385.1 has been dropped because has ANI=99.9941 to GCF_005221645.1
GCF_005222405.1	1	1	0	5600993	5010	50.46	ST11	E	O157:H7	GCF_005222405.1 has been dropped because has ANI=100 to GCF_005222285.1
GCF_005222425.1	1	2	0	5542244	5028	50.48	ST11	E	O157:H7	GCF_005222425.1 has been dropped because has ANI=99.9986 to GCF_005222445.1
GCF_005222445.1	1	2	0	5542245	5028	50.48	ST11	E	O157:H7	Keep
GCF_005484365.1	1	0	0	4666029	4190	50.60	ST410	C	O-:H21	GCF_005484365.1 has been dropped because has ANI=99.9974 to GCF_008042015.2
GCF_005671355.1	1	2	0	4909241	4366	50.52	ST410	C	O8:H9	Keep
GCF_005885915.1	1	1	0	5550459	5019	50.47	ST11	E	O157:H7	GCF_005885915.1 has been dropped because has ANI=99.9916 to GCF_000008865.2
GCF_005885955.1	1	1	0	5569576	5032	50.44	ST11	E	O157:H7	GCF_005885955.1 has been dropped because has ANI=99.9906 to GCF_013168155.1
GCF_005886035.1	1	0	0	5305706	4864	50.63	ST38	D	Unk:H30	Keep
GCF_005890115.1	1	0	0	4775122	4313	50.76	ST10	A	O16:H48	Keep
GCF_005954605.1	1	0	0	4601511	4126	50.79	ST11066	A	O16:H48	Keep
GCF_005954625.1	1	0	0	4605015	4146	50.77	ST11066	A	O16:H48	Keep
GCF_005954725.1	1	0	0	4772290	4261	50.93	ST10	A	O16:H48	Keep
GCF_006088875.1	1	2	0	5101085	4674	50.79	ST131	B2	O25:H4	Keep
GCF_006337025.1	1	2	0	5197522	4735	50.61	ST410	C	O8:H9	Keep
GCF_006351885.1	1	4	0	5545145	4983	50.42	ST8655	F	O1:H6	Keep
GCF_006352265.1	1	9	0	5186477	4699	50.59	ST410	C	O-:H21	Keep
GCF_006364695.1	1	3	0	5381037	4872	50.67	ST678	B1	O104:H4	GCF_006364695.1 has been dropped because has ANI=99.99 to GCF_000299475.1
GCF_006536085.2	1	0	0	4877468	4298	50.49	ST410	C	O-:H9	Keep
GCF_006537505.2	1	0	0	4780380	4197	50.60	ST410	C	O8:H9	Keep
GCF_006777045.1	1	1	0	5278774	4724	50.42	ST648	F	O1:H42	Keep
GCF_006777065.1	1	1	0	4932910	4423	50.60	ST10754	B1	O82:H8	Keep
GCF_006777085.1	1	1	0	5103743	4606	50.71	ST5796*	G	O24:H4	Keep
GCF_006874785.1	1	1	0	5660288	5054	50.48	ST11	E	O157:H7	Keep
GCF_006965465.1	1	1	0	5450027	4933	50.51	ST38	D	O86:H18	Keep
GCF_007012305.1	1	2	0	5135313	4570	50.84	ST167	A	Unk:H9	Keep
GCF_007632435.1	1	3	0	5038433	4599	50.66	ST2599	B1	O28ab:H2	Keep
GCF_007833255.1	1	1	0	5412194	4934	50.61	ST95	B2	Unk:H7	GCF_007833255.1 has been dropped because has ANI=99.9952 to GCF_002844685.1
GCF_007833295.1	1	3	0	5386935	4959	50.42	ST95	B2	Unk:H5	Keep
GCF_007833875.1	1	2	0	5452963	4924	50.51	ST10522	B2	O4:H5	Keep
GCF_007922655.1	1	2	0	5503522	4906	50.37	ST11	E	O157:H7	GCF_007922655.1 has been dropped because has ANI=99.9911 to GCF_013168095.1
GCF_007990655.1	1	7	0	5566342	5085	50.55	ST16	B1	O111:H8	Keep
GCF_007995175.1	1	3	0	5202911	4744	50.49	ST162	B1	O8:H19	Keep
GCF_008033295.1	1	3	0	5017957	4493	50.53	ST10	A	O16:H48	Keep
GCF_008033315.1	1	1	0	4948957	4474	50.58	ST10	A	O16:H48	GCF_008033315.1 has been dropped because has ANI=99.9986 to GCF_008033295.1
GCF_008042015.2	1	2	0	4789860	4286	50.55	ST410	C	O-:H21	Keep
GCF_008065435.1	1	2	0	5524396	4935	50.68	ST339*	A	O109:H48	Keep
GCF_008065455.1	1	0	0	5227472	4584	50.55	ST10	A	O113:H4	Keep
GCF_008080655.1	1	2	0	4815659	4277	50.75	ST48	A	O-:H20	Keep
GCF_008124005.1	1	4	0	5338095	4871	50.68	ST10082	A	O80:H26	Keep
GCF_008124085.1	1	1	0	5109630	4654	50.58	ST141	B2	Unk:H6	Keep
GCF_008124105.1	1	1	0	4636437	4179	50.81	ST10	A	O16:H48	GCF_008124105.1 has been dropped because has ANI=99.9929 to GCF_017161035.1
GCF_008124125.1	1	1	0	4699880	4243	50.77	ST10	A	O16:H48	GCF_008124125.1 has been dropped because has ANI=99.9928 to GCF_017161035.1
GCF_008124145.1	1	1	0	4699346	4246	50.77	ST10	A	O16:H48	GCF_008124145.1 has been dropped because has ANI=99.9932 to GCF_017161035.1
GCF_008124165.1	1	1	0	4822202	4382	50.84	ST10	A	O16:H48	GCF_008124165.1 has been dropped because has ANI=99.997 to GCF_008124185.1
GCF_008124185.1	1	1	0	4822402	4382	50.84	ST10	A	O16:H48	Keep
GCF_008124205.1	1	1	0	4721753	4268	50.66	ST10	A	O16:H48	GCF_008124205.1 has been dropped because has ANI=99.9914 to GCF_017161035.1
GCF_008124225.1	1	1	0	4721471	4268	50.66	ST10	A	O16:H48	GCF_008124225.1 has been dropped because has ANI=99.9931 to GCF_008124185.1
GCF_008124245.1	1	1	0	4659165	4207	50.70	ST10	A	O16:H48	GCF_008124245.1 has been dropped because has ANI=99.9906 to GCF_017161035.1
GCF_008124265.1	1	1	0	4721143	4271	50.66	ST10	A	O16:H48	GCF_008124265.1 has been dropped because has ANI=99.9925 to GCF_017161035.1
GCF_008124285.1	1	1	0	4733068	4273	50.64	ST10	A	O16:H48	Keep
GCF_008124305.1	1	1	0	4680340	4234	50.64	ST10	A	O16:H48	GCF_008124305.1 has been dropped because has ANI=99.991 to GCF_017161035.1
GCF_008124325.1	1	1	0	4721168	4270	50.66	ST10	A	O16:H48	GCF_008124325.1 has been dropped because has ANI=99.9931 to GCF_017161035.1
GCF_008124345.1	1	1	0	4680319	4234	50.64	ST10	A	O16:H48	GCF_008124345.1 has been dropped because has ANI=99.9907 to GCF_017161035.1
GCF_008124365.1	1	1	0	4680348	4240	50.64	ST10	A	O16:H48	GCF_008124365.1 has been dropped because has ANI=99.993 to GCF_017161035.1
GCF_008124385.1	1	1	0	4680310	4240	50.64	ST10	A	O16:H48	GCF_008124385.1 has been dropped because has ANI=99.9982 to GCF_008124285.1
GCF_008124405.1	1	0	0	4698238	4193	50.79	ST10	A	O16:H48	GCF_008124405.1 has been dropped because has ANI=99.996 to GCF_008124185.1
GCF_008124425.1	1	3	0	5131875	4618	50.85	ST167	A	Unk:H9	GCF_008124425.1 has been dropped because has ANI=99.9945 to GCF_003254065.1
GCF_008152105.1	1	1	0	5273509	4813	50.40	ST457	F	O11:H25	Keep
GCF_008329665.1	1	0	0	5074423	4642	50.86	ST223	B1	O159:H21	Keep
GCF_008370755.1	1	3	0	5099245	4633	50.64	ST40	B1	O109:H21	Keep
GCF_008375335.1	1	0	0	4790657	4355	50.90	ST48	A	O6:H16	Keep
GCF_008462425.1	1	0	0	5444610	4879	50.53	ST11	E	O157:H7	Keep
GCF_008632555.1	1	3	0	5129890	4614	50.85	ST167	A	Unk:H9	GCF_008632555.1 has been dropped because has ANI=99.9958 to GCF_003254065.1
GCF_008632575.1	1	3	0	5130791	4611	50.85	ST167	A	Unk:H9	Keep
GCF_008632595.1	1	2	0	5517367	5042	50.41	ST95	B2	Unk:H7	Keep
GCF_008642395.1	1	5	0	5406033	4973	50.53	ST38	D	O102:H6	Keep
GCF_008642415.1	1	2	0	4831587	4446	50.72	ST191	A	O48:H20	Keep
