AccessionID	SequenceType	Phylogroup	Count_Virulence	Count_Antibiotics	VirulenceCategory
GCF_001901125.1	ST6994	B1-nonshiga	4	0	1
GCF_001901145.1	ST278	B1-nonshiga	9	0	2
GCF_001901165.1	ST278	B1-nonshiga	9	0	2
GCF_001901185.1	ST1081	B1-nonshiga	6	0	2
GCF_001901405.1	ST517	B1-nonshiga	12	9	2
GCF_001901425.1	ST20	B1-nonshiga	14	0	3
GCF_001901445.1	ST3501	B1-nonshiga	4	6	1
GCF_002011945.1	ST101	B1-nonshiga	7	18	2
GCF_002055635.1	ST101	B1-nonshiga	8	18	2
GCF_002057355.1	ST327	B1-nonshiga	13	0	2
GCF_002116715.2	ST602	B1-nonshiga	16	7	3
GCF_002163655.1	ST101	B1-nonshiga	7	1	2
GCF_002163695.1	ST154	B1-nonshiga	5	0	1
GCF_002165095.2	ST156	B1-nonshiga	13	20	2
GCF_002180095.1	ST101	B1-nonshiga	9	18	2
GCF_002220215.1	ST2521	B1-nonshiga	5	0	1
GCF_002237325.1	ST155	B1-nonshiga	3	0	1
GCF_002302315.1	ST443	B1-nonshiga	7	0	2
GCF_002302335.1	ST5305	B1-nonshiga	8	4	2
GCF_002310555.1	ST539	B1-nonshiga	6	10	2
GCF_002741255.1	ST5305	B1-nonshiga	7	0	2
GCF_002741355.1	ST7256	B1-nonshiga	7	1	2
GCF_002741455.1	ST58	B1-nonshiga	11	0	2
GCF_002741475.1	ST316	B1-nonshiga	10	2	2
GCF_002787935.1	ST101	B1-nonshiga	11	18	2
GCF_002796445.1	ST448	B1-nonshiga	5	3	1
GCF_002860085.1	ST156	B1-nonshiga	17	22	3
GCF_002899475.1	ST-Unknown	B1-nonshiga	3	1	1
GCF_002951715.1	ST602	B1-nonshiga	18	10	3
GCF_002951755.1	ST453	B1-nonshiga	11	9	2
GCF_002951795.1	ST155	B1-nonshiga	13	11	2
GCF_002952695.1	ST795	B1-nonshiga	13	2	2
GCF_002968935.1	ST58	B1-nonshiga	14	12	3
GCF_002996665.1	ST278	B1-nonshiga	6	1	2
GCF_003031735.1	ST101	B1-nonshiga	10	20	2
GCF_003073875.1	ST156	B1-nonshiga	9	14	2
GCF_003122105.1	ST156	B1-nonshiga	12	20	2
GCF_003288415.1	ST156	B1-nonshiga	8	16	2
GCF_003325975.1	ST40	B1-nonshiga	16	13	3
GCF_003336405.1	ST453	B1-nonshiga	18	11	3
GCF_003342715.1	ST448	B1-nonshiga	3	19	1
GCF_003355175.1	ST2350	B1-nonshiga	7	11	2
GCF_003570765.1	ST56	B1-nonshiga	10	0	2
GCF_003586045.1	ST223	B1-nonshiga	8	0	2
GCF_003667405.1	ST162	B1-nonshiga	8	10	2
GCF_003956165.1	ST173	B1-nonshiga	8	2	2
GCF_003956185.1	ST443	B1-nonshiga	5	2	1
GCF_003956285.1	ST94	B1-nonshiga	7	2	2
GCF_003956365.1	ST443	B1-nonshiga	5	2	1
GCF_003956385.1	ST517	B1-nonshiga	6	0	2
GCF_003956425.1	ST94	B1-nonshiga	7	2	2
GCF_003956445.1	ST94?	B1-nonshiga	8	2	2
GCF_003956465.1	ST94	B1-nonshiga	7	2	2
GCF_003956485.1	ST443	B1-nonshiga	6	0	2
GCF_003999795.1	ST3076	B1-nonshiga	12	14	2
GCF_004135775.1	ST448	B1-nonshiga	10	21	2
GCF_004135815.1	ST448	B1-nonshiga	10	21	2
GCF_004301465.1	ST2161	B1-nonshiga	3	16	1
GCF_004924275.1	ST515	B1-nonshiga	5	17	1
GCF_004924355.1	ST1196	B1-nonshiga	4	15	1
GCF_006777065.1	ST10754	B1-nonshiga	12	6	2
GCF_007632435.1	ST2599	B1-nonshiga	14	10	3
GCF_007995175.1	ST162	B1-nonshiga	12	16	2
GCF_008370755.1	ST40	B1-nonshiga	17	4	3
GCF_009618015.1	ST4577	B1-nonshiga	6	0	2
GCF_009664185.1	ST1079	B1-nonshiga	3	0	1
GCF_009664205.1	ST1079*	B1-nonshiga	3	0	1
GCF_009671045.1	ST641	B1-nonshiga	5	9	1
GCF_009720605.1	ST5415	B1-nonshiga	16	13	3
GCF_009867035.2	ST58	B1-nonshiga	19	7	3
GCF_009905135.1	ST156	B1-nonshiga	18	14	3
GCF_009913415.1	ST3714	B1-nonshiga	12	17	2
GCF_010092405.1	ST156	B1-nonshiga	15	21	3
GCF_010365405.1	ST940	B1-nonshiga	6	10	2
GCF_010365485.1	ST205	B1-nonshiga	10	15	2
GCF_010669005.1	ST8827	B1-nonshiga	5	0	1
GCF_011064575.1	ST708	B1-nonshiga	4	0	1
GCF_011067085.1	ST156	B1-nonshiga	16	17	3
GCF_011383085.1	ST58	B1-nonshiga	12	8	2
GCF_011403355.1	ST201	B1-nonshiga	4	1	1
GCF_011492925.1	ST58	B1-nonshiga	18	0	3
GCF_011996085.1	ST29	B1-nonshiga	29	14	4
GCF_012044775.1	ST8535	B1-nonshiga	9	0	2
GCF_012221365.1	ST270	B1-nonshiga	14	2	3
GCF_012516455.1	ST533	B1-nonshiga	13	18	2
GCF_012934675.1	ST54	B1-nonshiga	8	0	2
GCF_012935215.1	ST453	B1-nonshiga	22	12	4
GCF_012974525.1	ST156	B1-nonshiga	4	13	1
GCF_013085185.1	ST3695	B1-nonshiga	19	1	3
GCF_013085865.1	ST58	B1-nonshiga	27	3	4
GCF_013122565.1	ST9286	B1-nonshiga	4	0	1
GCF_013201195.1	ST5229	B1-nonshiga	4	18	1
GCF_013201255.1	ST971	B1-nonshiga	18	9	3
GCF_013315975.1	ST5974	B1-nonshiga	4	0	1
GCF_013317085.1	ST101	B1-nonshiga	7	18	2
GCF_013357345.1	ST101	B1-nonshiga	8	18	2
GCF_013371685.1	ST602	B1-nonshiga	14	17	3
GCF_013371725.1	ST156	B1-nonshiga	7	16	2
GCF_013376575.1	ST7505	B1-nonshiga	4	16	1
GCF_013376895.1	ST11231	B1-nonshiga	8	0	2
GCF_013389615.1	ST155	B1-nonshiga	18	13	3
GCF_014075335.1	ST10776	B1-nonshiga	3	5	1
GCF_014160155.1	ST58	B1-nonshiga	4	5	1
GCF_014168595.1	ST602	B1-nonshiga	17	11	3
GCF_014168735.1	ST533	B1-nonshiga	4	6	1
GCF_014168975.1	ST1148	B1-nonshiga	3	4	1
GCF_014169275.1	ST2025	B1-nonshiga	18	4	3
GCF_014169595.1	ST641	B1-nonshiga	5	9	1
GCF_014169895.1	ST847	B1-nonshiga	6	5	2
GCF_014169995.1	ST2178	B1-nonshiga	3	10	1
GCF_014170975.1	ST58	B1-nonshiga	13	8	2
GCF_014605875.1	ST297	B1-nonshiga	8	0	2
GCF_014854635.1	ST101	B1-nonshiga	18	13	3
GCF_015135355.1	ST224	B1-nonshiga	4	8	1
GCF_015136895.1	ST9586	B1-nonshiga	14	8	3
GCF_015291785.1	ST392	B1-nonshiga	13	0	2
GCF_015571735.1	ST101	B1-nonshiga	15	6	3
GCF_015571755.1	ST603	B1-nonshiga	21	6	3
GCF_015571795.1	ST101	B1-nonshiga	14	7	3
GCF_015571835.1	ST101	B1-nonshiga	17	7	3
GCF_015571915.1	ST75	B1-nonshiga	24	8	4
GCF_016026375.1	ST4627	B1-nonshiga	8	0	2
GCF_016127695.1	ST3	B1-nonshiga	18	1	3
GCF_016432785.1	ST940	B1-nonshiga	5	12	1
GCF_016772495.1	ST155	B1-nonshiga	7	12	2
GCF_016776345.1	ST940	B1-nonshiga	5	8	1
GCF_016806005.1	ST2169	B1-nonshiga	5	10	1
GCF_016942505.1	ST654	B1-nonshiga	4	8	1
GCF_016942535.1	ST278	B1-nonshiga	3	10	1
GCF_016942655.1	ST156	B1-nonshiga	6	20	2
GCF_016944775.1	ST4014	B1-nonshiga	15	7	3
GCF_017088445.1	ST4088	B1-nonshiga	14	8	3
GCF_017352075.1	ST58	B1-nonshiga	17	6	3
GCF_017570645.1	ST162	B1-nonshiga	18	7	3
GCF_017570685.1	ST533	B1-nonshiga	12	7	2
GCF_017638965.1	ST11633	B1-nonshiga	3	1	1
GCF_017654165.1	ST155	B1-nonshiga	10	9	2
GCF_900497455.1	ST448	B1-nonshiga	9	12	2
GCF_900618295.1	ST8346	B1-nonshiga	3	15	1
GCF_900622665.1	ST224	B1-nonshiga	4	10	1
GCF_900635205.1	ST278	B1-nonshiga	12	0	2
GCF_900636005.1	ST297	B1-nonshiga	4	0	1
GCF_900636075.1	ST155	B1-nonshiga	4	0	1
GCF_900636105.1	ST1679	B1-nonshiga	5	0	1
GCF_900636175.1	ST1611	B1-nonshiga	6	0	2
GCF_900636785.1	ST56	B1-nonshiga	5	0	1
GCF_900636795.1	ST2952	B1-nonshiga	4	0	1
GCF_902810275.1	ST58	B1-nonshiga	6	0	2
GCF_902810295.1	ST58	B1-nonshiga	6	0	2
GCF_902810325.1	ST2005	B1-nonshiga	3	0	1
GCF_902810365.1	ST4392	B1-nonshiga	6	0	2
GCF_902810375.1	ST5891	B1-nonshiga	3	0	1
GCF_902810385.1	ST297	B1-nonshiga	4	0	1
GCF_902810405.1	ST6994	B1-nonshiga	3	0	1
GCF_902810415.1	ST295	B1-nonshiga	3	0	1
GCF_902825205.1	ST4623	B1-nonshiga	3	0	1
GCF_904711265.1	ST453	B1-nonshiga	14	3	3
GCF_904830975.1	ST5305	B1-nonshiga	8	4	2
GCF_904831825.1	ST173	B1-nonshiga	9	1	2
GCF_904831875.1	ST443	B1-nonshiga	7	0	2
GCF_904842665.1	ST2165	B1-nonshiga	3	3	1
GCF_904866305.1	ST602	B1-nonshiga	18	10	3
